date,open,high,low,close,volume
12/12/1980,0.0992,0.0996,0.0992,0.0992,469033600
12/15/1980,0.0945,0.0945,0.094,0.094,175884800
12/16/1980,0.0875,0.0875,0.0871,0.0871,105728000
12/17/1980,0.0893,0.0897,0.0893,0.0893,86441600
12/18/1980,0.0919,0.0923,0.0919,0.0919,73449600
12/19/1980,0.0975,0.0979,0.0975,0.0975,48630400
12/22/1980,0.1022,0.1026,0.1022,0.1022,37363200
12/23/1980,0.1065,0.107,0.1065,0.1065,46950400
12/24/1980,0.1121,0.1126,0.1121,0.1121,48003200
12/26/1980,0.1225,0.1229,0.1225,0.1225,55574400
12/29/1980,0.1242,0.1247,0.1242,0.1242,93161600
12/30/1980,0.1216,0.1216,0.1212,0.1212,68880000
12/31/1980,0.1182,0.1182,0.1178,0.1178,35750400
1/2/1981,0.119,0.1199,0.119,0.119,21660800
1/5/1981,0.1169,0.1169,0.1164,0.1164,35728000
1/6/1981,0.1117,0.1117,0.1113,0.1113,45158400
1/7/1981,0.107,0.107,0.1065,0.1065,55686400
1/8/1981,0.1048,0.1048,0.1044,0.1044,39827200
1/9/1981,0.11,0.1104,0.11,0.11,21504000
1/12/1981,0.11,0.11,0.1091,0.1091,23699200
1/13/1981,0.1057,0.1057,0.1052,0.1052,23049600
1/14/1981,0.1057,0.1061,0.1057,0.1057,14291200
1/15/1981,0.1078,0.1087,0.1078,0.1078,14067200
1/16/1981,0.1074,0.1074,0.107,0.107,13395200
1/19/1981,0.1134,0.1139,0.1134,0.1134,41574400
1/20/1981,0.1104,0.1104,0.11,0.11,30083200
1/21/1981,0.1121,0.113,0.1121,0.1121,15904000
1/22/1981,0.1134,0.1143,0.1134,0.1134,35548800
1/23/1981,0.1134,0.1139,0.113,0.113,11222400
1/26/1981,0.1117,0.1117,0.1113,0.1113,24640000
1/27/1981,0.1113,0.1113,0.1104,0.1104,23699200
1/28/1981,0.1074,0.1074,0.107,0.107,28156800
1/29/1981,0.1035,0.1035,0.1031,0.1031,43904000
1/30/1981,0.0983,0.0983,0.0975,0.0975,46188800
2/2/1981,0.0923,0.0923,0.0919,0.0919,23766400
2/3/1981,0.0953,0.0957,0.0953,0.0953,19152000
2/4/1981,0.0987,0.0992,0.0987,0.0987,27865600
2/5/1981,0.0987,0.0996,0.0987,0.0987,7929600
2/6/1981,0.0992,0.0996,0.0992,0.0992,13865600
2/9/1981,0.0949,0.0949,0.094,0.094,16755200
2/10/1981,0.094,0.0945,0.094,0.094,18345600
2/11/1981,0.0914,0.0914,0.091,0.091,13843200
2/12/1981,0.0906,0.0906,0.0902,0.0902,14560000
2/13/1981,0.0888,0.0888,0.088,0.088,11155200
2/17/1981,0.0902,0.0906,0.0902,0.0902,12275200
2/18/1981,0.094,0.0949,0.094,0.094,19241600
2/19/1981,0.0888,0.0888,0.0884,0.0884,22310400
2/20/1981,0.0841,0.0841,0.0837,0.0837,24371200
2/23/1981,0.0849,0.0854,0.0849,0.0849,14112000
2/24/1981,0.0828,0.0828,0.0819,0.0819,16979200
2/25/1981,0.0871,0.0875,0.0871,0.0871,19488000
2/26/1981,0.0884,0.0888,0.0884,0.0884,10841600
2/27/1981,0.0914,0.0923,0.0914,0.0914,14761600
3/2/1981,0.0919,0.0923,0.0919,0.0919,11760000
3/3/1981,0.091,0.091,0.0906,0.0906,16172800
3/4/1981,0.0902,0.0902,0.0897,0.0897,13708800
3/5/1981,0.0897,0.0897,0.0893,0.0893,5376000
3/6/1981,0.0893,0.0893,0.0884,0.0884,11603200
3/9/1981,0.0819,0.0819,0.0815,0.0815,15321600
3/10/1981,0.0781,0.0781,0.0776,0.0776,28380800
3/11/1981,0.0755,0.0755,0.0746,0.0746,29859200
3/12/1981,0.0776,0.0781,0.0776,0.0776,59248000
3/13/1981,0.0772,0.0772,0.0768,0.0768,231302400
3/16/1981,0.0798,0.0806,0.0798,0.0798,37228800
3/17/1981,0.0837,0.0845,0.0837,0.0837,43747200
3/18/1981,0.0888,0.0897,0.0888,0.0888,36937600
3/19/1981,0.0884,0.0884,0.088,0.088,37811200
3/20/1981,0.0888,0.0897,0.0888,0.0888,14604800
3/23/1981,0.0923,0.0932,0.0923,0.0923,22019200
3/24/1981,0.0923,0.0923,0.0919,0.0919,28156800
3/25/1981,0.091,0.091,0.0902,0.0902,7056000
3/26/1981,0.0888,0.0888,0.0884,0.0884,12275200
3/27/1981,0.0858,0.0858,0.0854,0.0854,12252800
3/30/1981,0.0854,0.0863,0.0854,0.0854,9900800
3/31/1981,0.0854,0.0854,0.0845,0.0845,15993600
4/1/1981,0.0841,0.0841,0.0837,0.0837,34070400
4/2/1981,0.091,0.0914,0.091,0.091,31404800
4/3/1981,0.0914,0.0919,0.0914,0.0914,16486400
4/6/1981,0.0902,0.0902,0.0897,0.0897,22803200
4/7/1981,0.0893,0.0893,0.0888,0.0888,10684800
4/8/1981,0.0932,0.094,0.0932,0.0932,21952000
4/9/1981,0.0949,0.0953,0.0949,0.0949,12499200
4/10/1981,0.0962,0.0966,0.0962,0.0962,33465600
4/13/1981,0.0962,0.0966,0.0962,0.0962,16060800
4/14/1981,0.0962,0.0966,0.0962,0.0962,6652800
4/15/1981,0.0919,0.0919,0.0914,0.0914,34048000
4/16/1981,0.0867,0.0867,0.0863,0.0863,23878400
4/20/1981,0.0888,0.0893,0.0888,0.0888,35347200
4/21/1981,0.0949,0.0953,0.0949,0.0949,28537600
4/22/1981,0.0983,0.0987,0.0983,0.0983,18995200
4/23/1981,0.1009,0.1013,0.1009,0.1009,58016000
4/24/1981,0.1009,0.1009,0.1001,0.1001,35056000
4/27/1981,0.0996,0.0996,0.0992,0.0992,38528000
4/28/1981,0.0979,0.0979,0.0975,0.0975,32188800
4/29/1981,0.0966,0.0966,0.0962,0.0962,13641600
4/30/1981,0.0979,0.0987,0.0979,0.0979,12611200
5/1/1981,0.0979,0.0987,0.0979,0.0979,16553600
5/4/1981,0.0979,0.0979,0.0975,0.0975,14448000
5/5/1981,0.0975,0.0975,0.097,0.097,17539200
5/6/1981,0.0949,0.0949,0.0945,0.0945,18950400
5/7/1981,0.0957,0.0962,0.0957,0.0957,9363200
5/8/1981,0.0966,0.097,0.0966,0.0966,7907200
5/11/1981,0.0949,0.0949,0.0945,0.0945,11939200
5/12/1981,0.0945,0.0957,0.0945,0.0945,4256000
5/13/1981,0.0945,0.0953,0.094,0.094,4905600
5/14/1981,0.0936,0.0936,0.0927,0.0927,4928000
