date,open,high,low,close,volume
8/6/2009,1.1926,1.2222,1.1247,1.1695,241978000
8/7/2009,1.1673,1.2114,1.1586,1.1875,24543000
8/10/2009,1.202,1.202,1.1283,1.1543,24210000
8/11/2009,1.155,1.1565,1.1203,1.1326,23054000
8/12/2009,1.1673,1.1709,1.1319,1.1565,14513000
8/13/2009,1.1565,1.2085,1.1565,1.1962,11506000
8/14/2009,1.1926,1.2287,1.1745,1.1998,6378000
8/17/2009,1.176,1.1832,1.1709,1.1724,2544000
8/18/2009,1.1912,1.2432,1.1818,1.2338,14467000
8/19/2009,1.2172,1.2967,1.2143,1.2931,20708000
8/20/2009,1.2974,1.2974,1.2497,1.2837,18821000
8/21/2009,1.2858,1.2989,1.2707,1.288,8636000
8/24/2009,1.2663,1.2902,1.2504,1.2649,10216000
8/25/2009,1.2757,1.2938,1.2685,1.2902,5308000
8/26/2009,1.2786,1.2902,1.2396,1.2902,7086000
8/27/2009,1.2902,1.3162,1.2685,1.3126,11611000
8/28/2009,1.3082,1.3733,1.301,1.335,12950000
8/31/2009,1.3263,1.3299,1.2873,1.3155,10048000
9/1/2009,1.3191,1.3328,1.2244,1.2902,13835000
9/2/2009,1.2837,1.3191,1.2634,1.2779,12934000
9/3/2009,1.2989,1.2989,1.2287,1.2613,36577000
9/4/2009,1.283,1.3009,1.2642,1.2837,11586000
9/8/2009,1.2837,1.296,1.2613,1.2793,5749000
9/9/2009,1.2902,1.2902,1.2446,1.2475,5512000
9/10/2009,1.2295,1.262,1.2251,1.2324,4152000
9/11/2009,1.2287,1.2526,1.1955,1.2201,6203000
9/14/2009,1.2027,1.2215,1.1789,1.2034,16145000
9/15/2009,1.2468,1.254,1.202,1.2418,19869000
9/16/2009,1.2577,1.283,1.2367,1.2707,20211000
9/17/2009,1.2764,1.2938,1.1948,1.2027,14464000
9/18/2009,1.1977,1.2302,1.1695,1.1709,8999000
9/21/2009,1.1767,1.202,1.1471,1.2006,5530000
9/22/2009,1.2259,1.2555,1.2157,1.2468,11141000
