date,open,high,low,close,volume
5/29/1986,2.7231,2.748,2.7231,2.742,15736000
5/30/1986,2.7296,2.7604,2.7296,2.7604,6500800
6/2/1986,2.748,2.7544,2.7231,2.7355,314400
6/3/1986,2.7296,2.7604,2.7231,2.7544,154400
6/4/1986,2.7355,2.7604,2.7171,2.7171,192000
6/5/1986,2.7047,2.7355,2.6982,2.7355,84000
6/6/1986,2.748,2.7544,2.7231,2.7355,367200
6/9/1986,2.742,2.748,2.6734,2.6798,497600
6/10/1986,2.6923,2.6923,2.6609,2.6798,141600
6/11/1986,2.6798,2.6798,2.6485,2.6674,318400
6/12/1986,2.6609,2.6609,2.5739,2.6052,348800
6/13/1986,2.6236,2.6923,2.6236,2.6798,602400
6/16/1986,2.6798,2.6923,2.6674,2.6858,590400
6/17/1986,2.6734,2.7171,2.6734,2.7047,294400
6/18/1986,2.7231,2.7231,2.6858,2.7231,104000
6/19/1986,2.7107,2.7171,2.6858,2.7107,386400
6/20/1986,2.6982,2.7231,2.6734,2.7231,540000
6/23/1986,2.7107,2.7107,2.6609,2.6609,146400
6/24/1986,2.6674,2.6674,2.6361,2.6485,244800
6/25/1986,2.6361,2.7047,2.6361,2.6982,669600
6/26/1986,2.7107,2.7171,2.6485,2.6858,142400
6/27/1986,2.6982,2.6982,2.6425,2.6858,508800
6/30/1986,2.6923,2.6982,2.6858,2.6858,91200
7/1/1986,2.6982,2.7231,2.6858,2.7231,566400
7/2/1986,2.7047,2.7047,2.6485,2.6609,1055200
7/3/1986,2.655,2.655,2.6301,2.6485,341600
7/7/1986,2.655,2.655,2.5615,2.5804,336000
7/8/1986,2.5739,2.5739,2.4869,2.5366,1145600
7/9/1986,2.549,2.549,2.5058,2.5366,460000
7/10/1986,2.549,2.5679,2.4869,2.5615,258400
7/11/1986,2.5739,2.5804,2.5555,2.5804,210400
7/14/1986,2.5739,2.5739,2.5117,2.5182,216800
7/15/1986,2.5306,2.5306,2.3998,2.4187,804800
7/16/1986,2.4247,2.4496,2.4123,2.4496,378400
7/17/1986,2.462,2.4809,2.4436,2.4436,158400
7/18/1986,2.4312,2.4371,2.3874,2.4247,346400
7/21/1986,2.4123,2.4123,2.3814,2.3938,312800
7/22/1986,2.3998,2.4371,2.3874,2.4312,693600
7/23/1986,2.4187,2.4436,2.3998,2.4063,508800
7/24/1986,2.3938,2.3938,2.3252,2.3501,1747200
7/25/1986,2.3252,2.3625,2.3252,2.3565,2258400
7/28/1986,2.3565,2.3625,2.3068,2.3317,748800
7/29/1986,2.3128,2.3252,2.2755,2.3252,981600
7/30/1986,2.3376,2.3998,2.3128,2.3998,264000
7/31/1986,2.3874,2.3874,2.3565,2.369,1360000
8/1/1986,2.3625,2.3749,2.3252,2.3376,2578400
8/4/1986,2.3376,2.4063,2.3192,2.3938,543200
8/5/1986,2.4187,2.4371,2.4063,2.4371,521600
8/6/1986,2.4496,2.462,2.4371,2.456,1025600
8/7/1986,2.4436,2.456,2.4312,2.4312,1778400
8/8/1986,2.4312,2.456,2.4312,2.4436,1547200
8/11/1986,2.4371,2.4744,2.4371,2.4685,456800
8/12/1986,2.4744,2.4744,2.456,2.4685,629600
8/13/1986,2.462,2.4993,2.462,2.4993,1331200
8/14/1986,2.4869,2.5182,2.4869,2.4993,1867200
8/15/1986,2.4993,2.5306,2.4993,2.5117,1726400
8/18/1986,2.5058,2.5117,2.4933,2.4993,168000
8/19/1986,2.4933,2.5117,2.4869,2.5117,189600
8/20/1986,2.4993,2.5117,2.4933,2.4993,172000
8/21/1986,2.4933,2.5117,2.4809,2.4809,460800
8/22/1986,2.4685,2.5058,2.462,2.4993,360000
8/25/1986,2.4993,2.4993,2.4809,2.4809,92000
8/26/1986,2.4933,2.5182,2.4869,2.5182,399200
8/27/1986,2.5117,2.5366,2.4993,2.5242,12080000
8/28/1986,2.5306,2.549,2.5117,2.5431,10240000
8/29/1986,2.5366,2.549,2.5117,2.5366,200800
9/2/1986,2.5242,2.5306,2.4809,2.4933,584000
9/3/1986,2.4809,2.5058,2.4809,2.5058,544000
9/4/1986,2.5058,2.5366,2.4869,2.5366,726400
9/5/1986,2.5117,2.5182,2.4809,2.4933,524800
9/8/1986,2.4869,2.4933,2.4744,2.4869,800800
9/9/1986,2.4744,2.4809,2.4496,2.456,412800
9/10/1986,2.4496,2.4496,2.4123,2.4371,1096000
9/11/1986,2.4312,2.4312,2.2879,2.3003,853600
9/12/1986,2.3003,2.3003,2.1636,2.1636,860000
9/15/1986,2.1884,2.1884,2.089,2.1636,637600
9/16/1986,2.1636,2.1636,2.0954,2.1511,768800
9/17/1986,2.1636,2.176,2.1327,2.1636,588800
9/18/1986,2.176,2.176,2.1014,2.1263,593600
9/19/1986,2.1387,2.1511,2.1138,2.1511,530400
9/22/1986,2.1636,2.176,2.1452,2.176,247200
9/23/1986,2.1884,2.1949,2.1387,2.1949,1021600
9/24/1986,2.2133,2.3128,2.1949,2.3128,673600
9/25/1986,2.3128,2.3252,2.2382,2.2879,786400
