date,open,high,low,close,volume
7/9/1986,6.4002,6.6248,6.3253,6.5873,1116801
7/10/1986,6.6248,6.6622,6.4002,6.5499,595600
7/11/1986,6.5125,6.5499,6.3253,6.3253,800400
7/14/1986,6.3628,6.3628,6.0633,6.1382,738000
7/15/1986,6.1008,6.1008,5.5768,5.951,2059201
7/16/1986,5.951,6.2879,5.951,6.0633,1160401
7/17/1986,6.0633,6.1382,5.9885,6.1008,1046002
7/18/1986,6.1008,6.1951,5.9885,6.1382,1420002
7/21/1986,6.1382,6.1756,6.1008,6.1382,322802
7/22/1986,6.1382,6.1577,6.1008,6.1008,390800
7/23/1986,6.1382,6.1382,5.9885,6.0259,1004001
7/24/1986,6.0259,6.0633,5.8762,5.951,1071599
7/25/1986,5.951,6.0633,5.9136,6.0259,688401
7/28/1986,6.0259,6.1382,5.9705,6.0633,414802
7/29/1986,5.9885,6.1008,5.9885,6.1008,278401
7/30/1986,6.0259,6.0633,5.9136,6.0633,459199
7/31/1986,6.0633,6.1382,5.9885,6.0259,1213598
8/1/1986,5.9885,6.0633,5.8388,5.8388,1117999
8/4/1986,5.8762,5.8762,5.7085,5.8388,892400
8/5/1986,5.8388,5.8388,5.6891,5.7265,868799
8/6/1986,5.7265,5.7639,5.4645,5.4645,550401
8/7/1986,5.3896,5.4271,4.8656,5.0153,7560000
8/8/1986,5.0528,5.3522,5.0153,5.3148,2801998
8/11/1986,5.3896,5.4645,5.3148,5.4645,1428001
8/12/1986,5.4645,5.6516,5.4645,5.6142,1155199
8/13/1986,5.6516,6.0454,5.6142,5.8013,865601
8/14/1986,5.8388,5.8762,5.6142,5.6891,761998
8/15/1986,5.6891,5.6891,5.5019,5.6142,654400
8/18/1986,5.6516,5.9136,5.5393,5.8013,606801
8/19/1986,5.8388,5.8388,5.6891,5.7265,2743999
8/20/1986,5.7265,5.7265,5.6142,5.6891,500001
8/21/1986,5.6891,5.7265,5.6516,5.6516,353200
8/22/1986,5.6891,5.7265,5.6142,5.6142,285999
8/25/1986,5.6891,5.6891,5.4645,5.5393,766399
8/26/1986,5.5019,5.6142,5.5019,5.6142,408798
8/27/1986,5.6142,5.6142,5.5019,5.5768,686402
8/28/1986,5.5768,5.5768,5.4645,5.5019,285999
8/29/1986,5.4645,5.5393,5.4271,5.4645,1128800
9/2/1986,5.5019,5.5019,5.2025,5.2399,916798
9/3/1986,5.2399,5.3522,5.2025,5.3522,684402
9/4/1986,5.3896,5.5768,5.3148,5.5768,576800
9/5/1986,5.5768,5.6516,5.3896,5.3896,961600
9/8/1986,5.4645,5.4645,5.1651,5.2399,1793200
9/9/1986,5.2025,5.2399,5.0902,5.1651,387998
9/10/1986,5.1651,5.1651,5.0902,5.0902,802400
9/11/1986,5.1276,5.1276,4.6411,4.7534,6240002
9/12/1986,4.7159,4.7534,4.5288,4.5662,2066799
9/15/1986,4.5662,4.6411,4.4539,4.5662,1746799
9/16/1986,4.5288,4.5662,4.3791,4.4539,1547201
9/17/1986,4.4914,4.4914,4.2294,4.4165,997601
9/18/1986,4.4165,5.2399,4.4165,5.2399,833198
9/19/1986,5.2399,5.2399,4.9031,5.1276,928000
9/22/1986,5.1276,5.2025,5.0153,5.0902,464000
9/23/1986,5.1276,5.1276,4.8282,4.9405,436399
9/24/1986,4.9405,5.1276,4.8656,5.0902,649599
9/25/1986,5.0902,5.0902,4.9779,4.9779,305601
9/26/1986,4.9779,5.0528,4.9405,4.9779,278401
9/29/1986,5.0153,5.0153,4.8282,4.9405,724799
9/30/1986,4.9031,5.2399,4.9031,5.1276,773200
10/1/1986,5.2025,5.2399,5.1276,5.1276,668399
10/2/1986,5.1276,5.1651,5.1276,5.1276,592001
10/3/1986,5.1651,5.1651,4.9405,5.0153,228000
10/6/1986,5.0902,5.0902,4.9779,5.0528,467599
10/7/1986,5.0153,5.0902,5.0153,5.0528,176001
10/8/1986,5.0902,5.1651,5.0528,5.1651,558801
10/9/1986,5.1651,5.1651,5.0153,5.0528,243202
10/10/1986,5.0528,5.0528,4.9405,4.9779,238400
10/13/1986,5.0153,5.0153,4.8282,4.8282,362798
10/14/1986,4.8282,5.1651,4.8282,5.0902,611999
10/15/1986,5.1276,5.2773,5.0902,5.2399,606801
10/16/1986,5.2399,5.2773,5.2025,5.2025,269199
10/17/1986,5.2399,5.2399,5.0528,5.0902,216001
10/20/1986,5.0528,5.0902,4.8282,4.9779,595199
10/21/1986,4.9779,4.9779,4.9031,4.9031,327198
10/22/1986,4.9779,4.9779,4.9031,4.9405,396002
10/23/1986,4.9779,4.9779,4.9405,4.96,1358400
10/24/1986,4.9779,5.0153,4.9405,4.9779,809601
10/27/1986,5.0153,5.0153,4.9405,4.9779,305200
10/28/1986,4.9405,5.0902,4.9405,5.0902,329202
10/29/1986,5.0902,5.3896,5.0902,5.3148,835599
10/30/1986,5.3148,5.5019,5.2773,5.4271,973198
10/31/1986,5.4271,5.4271,5.3148,5.3896,632398
11/3/1986,5.3148,5.4271,5.3148,5.3896,408798
11/4/1986,5.3522,5.4271,5.3522,5.3522,283202
11/5/1986,5.3896,5.3896,5.3148,5.3148,231198
11/6/1986,5.3148,5.3522,5.1276,5.2773,433998
11/7/1986,5.2773,5.3522,5.2399,5.2594,517202
11/10/1986,5.2773,5.2773,5.1651,5.2399,503199
11/11/1986,5.2773,5.3522,5.2025,5.3522,142000
11/12/1986,5.3522,5.4091,5.3148,5.3717,669602
11/13/1986,5.3522,5.3896,5.0153,5.0153,578800
11/14/1986,4.9779,5.0528,4.9031,5.0153,805998
11/17/1986,5.0153,5.0528,4.9405,5.0153,734402
11/18/1986,5.0528,5.0528,4.9031,4.9405,605599
11/19/1986,4.9779,5.0153,4.9031,4.9779,495600
11/20/1986,4.9779,5.0902,4.9779,5.0902,828401
11/21/1986,5.1276,5.3896,5.0902,5.3522,666800
11/24/1986,5.2773,5.5393,5.2773,5.4645,715602
11/25/1986,5.3896,5.4645,5.3522,5.3896,423999
11/26/1986,5.3522,5.4271,5.3522,5.4271,171600
11/28/1986,5.4271,5.4271,5.3148,5.3896,236000
12/1/1986,5.3896,5.4271,5.2773,5.3148,596001
12/2/1986,5.3522,5.3717,5.2968,5.3522,845598
12/3/1986,5.3148,5.4271,5.3148,5.4271,1016802
12/4/1986,5.3896,5.5019,5.2773,5.3522,643199
12/5/1986,5.3148,5.3522,5.0902,5.1276,636402
12/8/1986,5.0902,5.1651,4.9779,5.0902,711998
12/9/1986,5.0528,5.1276,5.0528,5.0528,302399
12/10/1986,5.0902,5.0902,4.9779,5.0153,341201
12/11/1986,5.0528,5.0528,4.7534,4.8282,1171999
12/12/1986,4.9031,4.9031,4.8282,4.8282,331999
12/15/1986,4.8282,5.1651,4.7908,5.1651,768398
12/16/1986,5.1276,5.2025,5.1276,5.2025,770002
12/17/1986,5.2025,5.2399,5.0902,5.0902,345201
12/18/1986,5.0902,5.1651,4.9779,5.0528,349200
12/19/1986,5.0528,5.0902,5.0153,5.0153,883599
12/22/1986,5.0528,5.1651,5.0153,5.0902,371599
12/23/1986,5.1276,5.1651,4.9779,5.0153,282801
12/24/1986,5.0153,5.0153,4.9779,4.9779,189198
12/26/1986,4.9779,5.0153,4.9405,5.0153,180000
12/29/1986,4.9779,5.0153,4.8656,5.0153,462000
12/30/1986,4.9779,5.0153,4.8656,4.9031,485201
12/31/1986,4.96,5.0153,4.9031,4.9031,378400
1/2/1987,4.9031,5.0153,4.8656,4.9974,363600
1/5/1987,5.0153,5.5019,5.0153,5.4645,1221998
1/6/1987,5.4645,5.4645,5.2773,5.3148,1119999
1/7/1987,5.3896,5.6142,5.3896,5.6142,976801
1/8/1987,5.6142,5.8388,5.5768,5.8013,1178800
1/9/1987,5.8013,5.9136,5.7639,5.8388,659598
1/12/1987,5.8013,5.8388,5.6516,5.6516,1713599
1/13/1987,5.6516,5.6516,5.5019,5.6516,1000002
1/14/1987,5.6516,5.6891,5.5393,5.6142,1237600
1/15/1987,5.5768,5.6142,5.3522,5.4271,2141598
1/16/1987,5.4271,5.4271,5.2773,5.3148,722398
1/19/1987,5.3148,5.5019,5.3148,5.4645,1029999
1/20/1987,5.5019,5.6142,5.4645,5.5768,895201
1/21/1987,5.5019,5.5393,5.3896,5.4645,923199
