date,open,high,low,close,volume
9/22/1981,0.0174,0.0174,0.0174,0.0174,7435800
9/23/1981,0.0174,0.0174,0.0174,0.0174,7380100
9/24/1981,0.0174,0.0174,0.0174,0.0174,5065639
9/25/1981,0.0174,0.0174,0.0174,0.0174,7306630
9/28/1981,0.0174,0.0174,0.0174,0.0174,5794525
9/29/1981,0.0174,0.0174,0.0174,0.0174,3953003
9/30/1981,0.0174,0.0174,0.0174,0.0174,5248800
10/1/1981,0.0174,0.0174,0.0174,0.0174,4374000
10/2/1981,0.0174,0.0232,0.0174,0.0174,3479722
10/5/1981,0.0174,0.0232,0.0174,0.0174,1766003
10/6/1981,0.0174,0.0232,0.0174,0.0174,2514708
10/7/1981,0.0174,0.0232,0.0174,0.0174,4190839
10/8/1981,0.0174,0.0232,0.0174,0.0174,126436
10/9/1981,0.0174,0.0232,0.0174,0.0174,5612730
10/12/1981,0.0174,0.0232,0.0174,0.0174,363930
10/13/1981,0.0174,0.0232,0.0174,0.0174,1146808
10/14/1981,0.0174,0.0232,0.0174,0.0174,363930
10/15/1981,0.0174,0.0232,0.0174,0.0174,3097680
10/16/1981,0.0174,0.0232,0.0174,0.0174,291486
10/19/1981,0.0174,0.0232,0.0174,0.0174,1220278
10/20/1981,0.0232,0.0232,0.0232,0.0232,1493994
10/21/1981,0.0232,0.0232,0.0232,0.0232,7106725
10/22/1981,0.0232,0.0232,0.0232,0.0232,6377839
10/23/1981,0.0232,0.0291,0.0232,0.0232,3917122
10/26/1981,0.0232,0.0291,0.0232,0.0232,4300530
10/27/1981,0.0232,0.0291,0.0232,0.0232,1238730
10/28/1981,0.0232,0.0291,0.0232,0.0232,3425730
10/29/1981,0.0232,0.0291,0.0232,0.0232,599716
10/30/1981,0.0232,0.0291,0.0232,0.0232,417922
11/2/1981,0.0291,0.0291,0.0291,0.0291,837211
11/3/1981,0.0291,0.0291,0.0291,0.0291,1092817
11/4/1981,0.0291,0.0291,0.0291,0.0291,1110586
11/5/1981,0.0291,0.0291,0.0291,0.0291,4244830
11/6/1981,0.0291,0.0291,0.0291,0.0291,126436
11/9/1981,0.0291,0.0291,0.0232,0.0232,4427992
11/10/1981,0.0232,0.0291,0.0232,0.0232,2786716
11/11/1981,0.0232,0.0291,0.0232,0.0232,363930
11/12/1981,0.0232,0.0291,0.0232,0.0232,673186
11/13/1981,0.0232,0.0291,0.0232,0.0232,291486
11/16/1981,0.0232,0.0291,0.0232,0.0232,2860186
11/17/1981,0.0291,0.0291,0.0291,0.0291,145914
11/18/1981,0.0291,0.0291,0.0291,0.0291,363930
11/19/1981,0.0291,0.0291,0.0291,0.0291,145914
11/20/1981,0.0291,0.0291,0.0291,0.0291,2660280
11/23/1981,0.0291,0.0291,0.0291,0.0291,910680
11/24/1981,0.0291,0.0291,0.0291,0.0291,327708
11/25/1981,0.0291,0.0291,0.0291,0.0291,199905
11/27/1981,0.0291,0.0291,0.0291,0.0291,145914
11/30/1981,0.0291,0.0291,0.0291,0.0291,89872
12/1/1981,0.0291,0.0291,0.0291,0.0291,145914
12/2/1981,0.0291,0.0291,0.0291,0.0291,363930
12/3/1981,0.0291,0.0291,0.0291,0.0291,1693900
12/4/1981,0.0291,0.0349,0.0291,0.0291,4773811
12/7/1981,0.0349,0.0349,0.0349,0.0349,3953003
12/8/1981,0.0349,0.0349,0.0349,0.0349,2860186
12/9/1981,0.0349,0.0349,0.0349,0.0349,1220278
12/10/1981,0.0349,0.0349,0.0349,0.0349,745630
12/11/1981,0.0349,0.0349,0.0349,0.0349,272008
12/14/1981,0.0349,0.0349,0.0291,0.0291,1657678
12/15/1981,0.0291,0.0291,0.0291,0.0291,2860186
12/16/1981,0.0291,0.0291,0.0291,0.0291,145914
12/17/1981,0.0291,0.0291,0.0291,0.0291,1911916
12/18/1981,0.0291,0.0291,0.0291,0.0291,545725
12/21/1981,0.0291,0.0291,0.0291,0.0291,837211
12/22/1981,0.0291,0.0291,0.0291,0.0291,1384644
12/23/1981,0.0291,0.0291,0.0291,0.0291,1146808
12/24/1981,0.0291,0.0291,0.0291,0.0291,1766003
12/28/1981,0.0291,0.0291,0.0291,0.0291,417922
12/29/1981,0.0291,0.0291,0.0291,0.0291,399811
12/30/1981,0.0291,0.0349,0.0291,0.0291,417922
12/31/1981,0.0291,0.0349,0.0291,0.0291,272008
1/4/1982,0.0291,0.0349,0.0291,0.0291,126436
1/5/1982,0.0291,0.0349,0.0291,0.0291,399811
