date,open,high,low,close,volume
1/2/1970,0.3868,0.3879,0.3772,0.3772,1195200
1/5/1970,0.3772,0.3782,0.3675,0.368,964800
1/6/1970,0.368,0.375,0.3664,0.375,1036800
1/7/1970,0.375,0.3761,0.3723,0.3734,331200
1/8/1970,0.3734,0.3793,0.3734,0.3761,460800
1/9/1970,0.3782,0.3836,0.3782,0.3782,748800
1/12/1970,0.3782,0.3782,0.3718,0.3718,864000
1/13/1970,0.3729,0.3782,0.3729,0.375,849600
1/14/1970,0.375,0.3815,0.375,0.3804,619200
1/15/1970,0.3804,0.3815,0.3798,0.3809,1209600
1/16/1970,0.3809,0.3809,0.3793,0.3804,734400
1/19/1970,0.3798,0.3798,0.375,0.3755,1180800
1/20/1970,0.3755,0.3755,0.3691,0.3755,763200
1/21/1970,0.3755,0.3772,0.3745,0.3772,878400
1/22/1970,0.3772,0.3782,0.375,0.3782,360000
1/23/1970,0.3782,0.3793,0.3755,0.3761,979200
1/26/1970,0.3761,0.3761,0.3739,0.3761,979200
1/27/1970,0.3745,0.3745,0.3718,0.3718,532800
1/28/1970,0.3686,0.3686,0.3514,0.3514,1497600
1/29/1970,0.3503,0.3503,0.332,0.3438,3585600
1/30/1970,0.3396,0.3396,0.3331,0.3396,2808000
2/2/1970,0.3433,0.3567,0.3433,0.3567,1612800
2/3/1970,0.3567,0.3718,0.3546,0.3546,2692800
2/4/1970,0.3508,0.3508,0.3347,0.339,2793600
2/5/1970,0.339,0.3546,0.3379,0.3546,1886400
2/6/1970,0.3524,0.3524,0.3481,0.3503,705600
2/9/1970,0.3589,0.3686,0.3589,0.3659,1684800
2/10/1970,0.3718,0.3761,0.3718,0.3729,2505600
2/11/1970,0.3718,0.3718,0.368,0.3696,2232000
2/12/1970,0.3696,0.3696,0.3538,0.3562,3369600
2/13/1970,0.3549,0.3549,0.3438,0.3481,1540800
2/16/1970,0.3488,0.3504,0.348,0.348,820800
2/17/1970,0.348,0.3483,0.338,0.3413,1915200
2/18/1970,0.3423,0.345,0.3423,0.3439,878400
2/19/1970,0.3439,0.3439,0.3407,0.3415,576000
2/20/1970,0.3407,0.3407,0.3337,0.3351,1396800
2/24/1970,0.3351,0.3364,0.3256,0.3278,3744000
2/25/1970,0.3278,0.3402,0.3262,0.3402,2822400
2/26/1970,0.337,0.337,0.33,0.3337,1353600
2/27/1970,0.3359,0.3445,0.3359,0.3431,1627200
3/2/1970,0.3431,0.3483,0.3402,0.3402,1051200
3/3/1970,0.3402,0.3407,0.3348,0.3407,1468800
3/4/1970,0.3407,0.3466,0.3407,0.3439,734400
3/5/1970,0.3439,0.345,0.3423,0.3434,892800
3/6/1970,0.3434,0.3434,0.3375,0.3386,907200
3/9/1970,0.3375,0.3375,0.3348,0.3364,273600
3/10/1970,0.3348,0.3348,0.3308,0.3337,1353600
3/11/1970,0.3337,0.338,0.3326,0.3364,432000
3/12/1970,0.3367,0.3391,0.3367,0.3375,388800
3/13/1970,0.3359,0.3359,0.3337,0.3337,1339200
3/16/1970,0.3337,0.3337,0.3278,0.3283,806400
3/17/1970,0.3283,0.3294,0.3267,0.3267,1267200
3/18/1970,0.3273,0.33,0.3273,0.33,748800
3/19/1970,0.331,0.3326,0.331,0.331,1123200
3/20/1970,0.331,0.331,0.3289,0.331,518400
3/23/1970,0.3305,0.3305,0.3273,0.3283,216000
3/24/1970,0.3281,0.3281,0.323,0.3264,1670400
3/25/1970,0.3294,0.3413,0.3294,0.337,2275200
3/26/1970,0.337,0.3391,0.3359,0.337,936000
3/30/1970,0.337,0.3386,0.3348,0.3353,1368000
3/31/1970,0.3337,0.3337,0.3305,0.3326,676800
4/1/1970,0.3316,0.3316,0.3294,0.3302,820800
4/2/1970,0.3283,0.3283,0.324,0.3248,792000
4/3/1970,0.3248,0.3267,0.3248,0.3262,1008000
4/6/1970,0.3262,0.3278,0.317,0.3176,2275200
4/7/1970,0.317,0.317,0.3079,0.3084,1526400
4/8/1970,0.3084,0.309,0.3063,0.3079,734400
4/9/1970,0.3079,0.3154,0.3079,0.3149,820800
4/10/1970,0.3149,0.3197,0.3135,0.3143,3312000
4/13/1970,0.3143,0.3143,0.31,0.3122,878400
4/14/1970,0.3122,0.3176,0.3079,0.317,835200
4/15/1970,0.317,0.3224,0.3165,0.3187,2217600
4/16/1970,0.3187,0.3187,0.3149,0.3151,1252800
4/17/1970,0.3151,0.3154,0.3143,0.3149,950400
4/20/1970,0.3149,0.3154,0.3127,0.3143,1425600
4/21/1970,0.3143,0.3165,0.3122,0.3125,518400
4/22/1970,0.3122,0.3122,0.31,0.3103,561600
4/23/1970,0.3103,0.3106,0.3004,0.3011,763200
4/24/1970,0.3011,0.3014,0.2996,0.2998,792000
4/27/1970,0.2996,0.2996,0.296,0.2966,705600
4/28/1970,0.2966,0.2971,0.295,0.295,676800
4/29/1970,0.295,0.3057,0.2896,0.3057,2534400
4/30/1970,0.3057,0.3122,0.3057,0.3079,532800
5/1/1970,0.3079,0.3079,0.3057,0.3063,316800
5/4/1970,0.3025,0.3025,0.2966,0.2966,576000
5/5/1970,0.2955,0.2955,0.2934,0.2934,950400
5/6/1970,0.2934,0.2982,0.2934,0.2982,1166400
5/7/1970,0.2993,0.3036,0.2993,0.3025,1137600
5/8/1970,0.3025,0.3047,0.296,0.2982,921600
5/11/1970,0.2941,0.2941,0.2907,0.2907,705600
5/12/1970,0.2907,0.2982,0.2901,0.2928,763200
5/13/1970,0.2917,0.2917,0.2901,0.2909,360000
5/14/1970,0.2909,0.2912,0.2842,0.288,1094400
