date,open,high,low,close,volume
6/1/1972,1.4751,1.4771,1.4603,1.4687,456000
6/2/1972,1.4717,1.4858,1.4717,1.4858,640000
6/5/1972,1.483,1.483,1.4603,1.4658,464000
6/6/1972,1.4658,1.4658,1.4517,1.4517,796800
6/7/1972,1.4517,1.4717,1.449,1.4687,584000
6/8/1972,1.4687,1.4744,1.449,1.4517,726400
6/9/1972,1.4545,1.4717,1.4545,1.4687,296000
6/12/1972,1.4687,1.4801,1.4574,1.4658,473600
6/13/1972,1.4687,1.4858,1.4687,1.4801,478400
6/14/1972,1.4858,1.5171,1.4858,1.5112,795200
6/15/1972,1.5198,1.5368,1.5198,1.5198,836800
6/16/1972,1.5198,1.5225,1.4971,1.5028,267200
6/19/1972,1.5028,1.5112,1.4744,1.4914,1001600
6/20/1972,1.4971,1.5112,1.4971,1.5112,345600
6/21/1972,1.5112,1.5171,1.4944,1.4971,556800
6/22/1972,1.4971,1.5112,1.4914,1.5084,321600
6/23/1972,1.5084,1.5171,1.5084,1.5141,212800
6/26/1972,1.5141,1.5311,1.4998,1.5311,278400
6/27/1972,1.5311,1.5397,1.5141,1.5225,268800
6/28/1972,1.5171,1.5171,1.4914,1.4971,433600
6/29/1972,1.4971,1.5057,1.4885,1.4885,313600
6/30/1972,1.4914,1.5141,1.4914,1.5084,404800
7/3/1972,1.5084,1.5284,1.5057,1.5255,240000
7/5/1972,1.5368,1.5538,1.5368,1.5425,734400
7/6/1972,1.5624,1.5792,1.5624,1.5708,809600
7/7/1972,1.5738,1.6078,1.5738,1.6078,595200
7/10/1972,1.6078,1.6105,1.5878,1.5906,316800
7/11/1972,1.5906,1.6078,1.5906,1.5964,232000
7/12/1972,1.5992,1.6246,1.5992,1.6105,1132800
7/13/1972,1.6105,1.6275,1.5935,1.6105,790400
7/14/1972,1.6132,1.6445,1.6132,1.6389,950400
7/17/1972,1.6389,1.6389,1.6105,1.6105,187200
7/18/1972,1.6019,1.6019,1.5935,1.5992,385600
7/19/1972,1.5992,1.6389,1.5992,1.6162,636800
7/20/1972,1.6162,1.6332,1.6162,1.6332,326400
7/21/1972,1.6389,1.6586,1.6389,1.6586,340800
7/24/1972,1.6586,1.7069,1.6559,1.6872,811200
7/25/1972,1.6872,1.704,1.6729,1.6729,312000
7/26/1972,1.7012,1.7212,1.7012,1.7153,816000
7/27/1972,1.7153,1.7267,1.7012,1.7153,422400
7/28/1972,1.7153,1.7183,1.7126,1.7126,208000
7/31/1972,1.7069,1.7069,1.6899,1.6926,174400
8/1/1972,1.6926,1.7126,1.6899,1.7126,368000
8/2/1972,1.7126,1.7183,1.7012,1.7069,384000
8/3/1972,1.7069,1.7126,1.6899,1.7126,355200
8/4/1972,1.7126,1.7126,1.7012,1.7012,193600
8/7/1972,1.7012,1.7126,1.7012,1.7012,204800
8/8/1972,1.7012,1.7126,1.6956,1.7069,243200
8/9/1972,1.7069,1.7069,1.6985,1.7012,126400
8/10/1972,1.704,1.7126,1.704,1.7099,184000
8/11/1972,1.7099,1.7126,1.704,1.7126,180800
8/14/1972,1.7183,1.7523,1.7183,1.7439,308800
8/15/1972,1.7439,1.7439,1.6985,1.7183,420800
8/16/1972,1.7126,1.7126,1.6842,1.6926,268800
8/17/1972,1.6926,1.6985,1.6786,1.6872,348800
8/18/1972,1.6926,1.7239,1.6926,1.7153,185600
8/21/1972,1.7296,1.7666,1.7296,1.7523,316800
8/22/1972,1.7523,1.7693,1.7466,1.7607,580800
8/23/1972,1.758,1.758,1.7439,1.7466,353600
8/24/1972,1.7466,1.758,1.7267,1.7267,179200
8/25/1972,1.7183,1.7183,1.6926,1.6926,371200
8/28/1972,1.6926,1.7126,1.6872,1.6872,177600
8/29/1972,1.6872,1.7012,1.6813,1.7012,238400
8/30/1972,1.7012,1.7012,1.6926,1.6956,177600
8/31/1972,1.6956,1.6956,1.6899,1.6956,137600
9/1/1972,1.6985,1.7012,1.6985,1.7012,163200
9/5/1972,1.7012,1.7012,1.6899,1.6899,124800
