date,open,high,low,close,volume
5/18/2012,41.9242,44.8654,37.8863,38.1174,573576400
5/21/2012,36.4207,36.5503,32.9013,33.9282,168192700
5/22/2012,32.5124,33.4895,30.8474,30.9073,101786600
5/23/2012,31.2762,32.4028,31.2662,31.9043,73600000
5/24/2012,32.8514,33.1106,31.675,32.9312,50237200
5/25/2012,32.8016,32.8514,31.0169,31.8145,37149800
5/29/2012,31.3858,31.5952,28.5643,28.7537,78063400
5/30/2012,28.6092,29.4616,27.7767,28.1057,57267900
5/31/2012,28.4596,29.5812,26.7497,29.5114,111639200
6/1/2012,28.8056,29.0628,27.3081,27.6371,41855500
6/4/2012,27.1186,27.5673,26.3609,26.8195,35230300
6/5/2012,26.6201,27.677,25.673,25.7916,42473400
6/6/2012,25.992,27.0887,25.4437,26.7298,61489200
6/7/2012,26.9192,27.2682,26.0718,26.2313,26159500
6/8/2012,26.4706,27.677,26.3609,27.0189,38034000
6/11/2012,27.0987,27.986,26.7547,26.9242,28219600
6/12/2012,27.3978,27.6869,26.8793,27.318,15816800
6/13/2012,27.5773,28.0159,27.0189,27.1884,17102800
6/14/2012,27.5673,28.2353,27.2981,28.2054,16855000
6/15/2012,28.4197,30.01,28.2652,29.9242,43563800
6/18/2012,29.8654,31.984,29.322,31.316,42978900
6/19/2012,31.4407,32.0837,30.6082,31.8155,30849000
6/20/2012,31.8245,31.8333,31.0568,31.5055,15553600
6/21/2012,31.5753,32.4028,31.4157,31.7447,21875300
6/22/2012,32.313,33.3499,31.9641,32.9511,74834000
6/25/2012,32.7617,32.9212,31.4556,31.9641,24352900
6/26/2012,32.5922,33.34,32.4028,33.001,24858700
6/27/2012,32.3629,32.8016,31.8046,32.1336,28568000
6/28/2012,31.8644,32.0937,30.8076,31.2662,17713300
6/29/2012,31.8245,31.8943,30.668,31.002,19526900
7/2/2012,31.1565,31.6351,30.4586,30.6789,14122000
7/3/2012,30.8175,31.3459,30.7079,31.1067,8763600
7/5/2012,31.2263,31.5304,30.9272,31.3759,10032100
7/6/2012,31.3459,31.8046,31.1665,31.6351,10945600
