date,open,high,low,close,volume
3/13/1986,0.0549,0.063,0.0549,0.0603,1031788800
3/14/1986,0.0603,0.0635,0.0603,0.0624,308160000
3/17/1986,0.0624,0.064,0.0624,0.0635,133171200
3/18/1986,0.0635,0.064,0.0614,0.0619,67766400
3/19/1986,0.0619,0.0624,0.0603,0.0608,47894400
3/20/1986,0.0608,0.0608,0.0587,0.0592,58435200
3/21/1986,0.0592,0.0603,0.0565,0.0576,59990400
3/24/1986,0.0576,0.0576,0.0554,0.056,65289600
3/25/1986,0.056,0.0571,0.0554,0.0571,32083200
3/26/1986,0.0571,0.0592,0.0565,0.0587,22752000
3/27/1986,0.0587,0.0597,0.0587,0.0597,16848000
3/31/1986,0.0597,0.0597,0.0581,0.0592,12873600
4/1/1986,0.0592,0.0592,0.0587,0.0587,11088000
4/2/1986,0.0587,0.0603,0.0587,0.0592,27014400
4/3/1986,0.0597,0.0614,0.0597,0.0597,23040000
4/4/1986,0.0597,0.0603,0.0597,0.0597,26582400
4/7/1986,0.0597,0.0603,0.0576,0.0587,16560000
4/8/1986,0.0587,0.0603,0.0587,0.0592,10252800
4/9/1986,0.0592,0.0608,0.0592,0.0603,12153600
4/10/1986,0.0603,0.0614,0.0592,0.0608,13881600
4/11/1986,0.0614,0.063,0.0614,0.0619,17222400
4/14/1986,0.0619,0.063,0.0619,0.0624,12153600
4/15/1986,0.0624,0.0624,0.0603,0.0624,9302400
4/16/1986,0.0624,0.0651,0.0619,0.0646,31910400
4/17/1986,0.0646,0.0651,0.0646,0.0651,22003200
4/18/1986,0.0651,0.0651,0.0624,0.063,21628800
4/21/1986,0.063,0.0635,0.0614,0.063,22924800
4/22/1986,0.063,0.063,0.0619,0.0619,15552000
4/23/1986,0.0619,0.0624,0.0614,0.0622,15609600
4/24/1986,0.0622,0.0694,0.0619,0.0684,62352000
4/25/1986,0.0689,0.0756,0.0689,0.0727,85795200
4/28/1986,0.0727,0.0737,0.0721,0.0732,28886400
4/29/1986,0.0732,0.0732,0.0705,0.071,30326400
4/30/1986,0.071,0.0716,0.0678,0.0694,30902400
5/1/1986,0.0694,0.0694,0.0673,0.0684,54345600
5/2/1986,0.0684,0.0694,0.0678,0.0684,20246400
5/5/1986,0.0684,0.0684,0.0678,0.0678,3254400
5/6/1986,0.0684,0.0694,0.0684,0.0684,9734400
5/7/1986,0.0684,0.0689,0.0673,0.0684,5155200
5/8/1986,0.0684,0.0689,0.0678,0.0689,3542400
5/9/1986,0.0689,0.0689,0.0684,0.0684,6076800
5/12/1986,0.0684,0.0705,0.0684,0.0689,10483200
5/13/1986,0.0689,0.07,0.0689,0.0694,3830400
5/14/1986,0.0694,0.0694,0.0689,0.0689,9302400
5/15/1986,0.0689,0.07,0.0689,0.0689,3801600
5/16/1986,0.0689,0.071,0.0689,0.0694,11952000
5/19/1986,0.0694,0.0694,0.0678,0.0684,11001600
5/20/1986,0.0684,0.0684,0.0673,0.0678,61977600
5/21/1986,0.0678,0.0684,0.0667,0.0667,8092800
5/22/1986,0.0667,0.0673,0.0667,0.0667,4406400
5/23/1986,0.0667,0.0678,0.0667,0.0667,4089600
5/27/1986,0.0667,0.0689,0.0667,0.0689,13881600
5/28/1986,0.0689,0.071,0.0689,0.071,15523200
5/29/1986,0.071,0.0737,0.0705,0.0727,45676800
5/30/1986,0.0732,0.0764,0.0732,0.0754,27072000
6/2/1986,0.0754,0.0754,0.0732,0.0732,19728000
6/3/1986,0.0732,0.0732,0.0721,0.0732,5011200
6/4/1986,0.0732,0.0737,0.0721,0.0727,4723200
6/5/1986,0.0727,0.0737,0.0721,0.0737,13708800
6/6/1986,0.0737,0.0737,0.0727,0.0737,3427200
6/9/1986,0.0737,0.0737,0.0705,0.0705,12672000
6/10/1986,0.0705,0.0705,0.0694,0.0705,3427200
6/11/1986,0.0705,0.0705,0.0694,0.0705,2304000
6/12/1986,0.0705,0.0705,0.0673,0.0678,13708800
6/13/1986,0.0678,0.0684,0.0673,0.0678,7891200
6/16/1986,0.0678,0.0684,0.0667,0.0673,9590400
6/17/1986,0.0678,0.0694,0.0678,0.0684,13075200
6/18/1986,0.0684,0.0684,0.0667,0.0678,4348800
6/19/1986,0.0678,0.0684,0.0667,0.0673,8467200
6/20/1986,0.0673,0.0678,0.0673,0.0675,3801600
6/23/1986,0.0675,0.0684,0.0662,0.0684,46195200
6/24/1986,0.0684,0.0689,0.0673,0.0678,14572800
6/25/1986,0.0678,0.0684,0.0667,0.0667,15235200
6/26/1986,0.0667,0.0673,0.0646,0.0646,19152000
6/27/1986,0.0646,0.0651,0.0635,0.064,10396800
6/30/1986,0.064,0.0678,0.0635,0.0662,62352000
7/1/1986,0.0662,0.0662,0.0657,0.0662,47577600
7/2/1986,0.0662,0.0662,0.0657,0.0662,52617600
7/3/1986,0.0667,0.0678,0.0667,0.0673,14140800
7/7/1986,0.0673,0.0673,0.0646,0.0646,14054400
7/8/1986,0.0646,0.0646,0.0624,0.063,14256000
7/9/1986,0.063,0.063,0.0597,0.0603,46137600
7/10/1986,0.0603,0.0608,0.056,0.0587,46886400
7/11/1986,0.0587,0.0614,0.0587,0.0603,17395200
7/14/1986,0.0587,0.0608,0.0587,0.0595,28598400
7/15/1986,0.0595,0.0614,0.0587,0.0603,13190400
7/16/1986,0.0608,0.0624,0.0608,0.0624,9360000
7/17/1986,0.0624,0.0635,0.0619,0.0635,6940800
7/18/1986,0.0635,0.0646,0.0619,0.064,12326400
7/21/1986,0.064,0.0651,0.064,0.064,3513600
7/22/1986,0.064,0.0662,0.064,0.0662,10512000
7/23/1986,0.0662,0.0673,0.0646,0.0646,20793600
7/24/1986,0.0657,0.0678,0.0657,0.0667,14140800
7/25/1986,0.0667,0.0678,0.0667,0.0673,20448000
7/28/1986,0.0673,0.0673,0.0657,0.0657,11808000
7/29/1986,0.0657,0.0662,0.063,0.064,14054400
7/30/1986,0.064,0.064,0.0597,0.0619,26409600
7/31/1986,0.0619,0.0624,0.0614,0.0614,15638400
8/1/1986,0.0614,0.0619,0.0603,0.0608,12902400
8/4/1986,0.0608,0.0608,0.0592,0.0608,12441600
8/5/1986,0.0608,0.0614,0.0603,0.0603,2822400
8/6/1986,0.0603,0.0608,0.0587,0.0597,18316800
8/7/1986,0.0597,0.0603,0.0587,0.0592,3657600
8/8/1986,0.0592,0.0608,0.0592,0.0597,4147200
8/11/1986,0.0608,0.0624,0.0608,0.0619,7948800
8/12/1986,0.0619,0.0635,0.0619,0.0635,9993600
8/13/1986,0.0635,0.064,0.063,0.064,6883200
8/14/1986,0.064,0.0662,0.064,0.0657,20131200
8/15/1986,0.0657,0.0662,0.0651,0.0659,6105600
8/18/1986,0.0659,0.0662,0.0651,0.0651,12787200
8/19/1986,0.0651,0.0654,0.064,0.0651,20390400
8/20/1986,0.0651,0.0651,0.0646,0.0646,20764800
8/21/1986,0.0646,0.0657,0.0646,0.0646,49536000
8/22/1986,0.0646,0.0651,0.0624,0.0635,5760000
8/25/1986,0.0635,0.0635,0.0624,0.0635,2419200
8/26/1986,0.0635,0.0635,0.063,0.063,10857600
8/27/1986,0.063,0.0635,0.0624,0.063,9532800
8/28/1986,0.063,0.0635,0.063,0.063,3427200
8/29/1986,0.063,0.0635,0.0603,0.0614,25430400
9/2/1986,0.0614,0.0614,0.0589,0.0597,5212800
9/3/1986,0.0592,0.0592,0.0565,0.0581,18316800
9/4/1986,0.0592,0.063,0.0592,0.063,39427200
9/5/1986,0.063,0.0657,0.0624,0.0657,26352000
9/8/1986,0.0657,0.0662,0.0651,0.0651,9619200
9/9/1986,0.0651,0.0678,0.0651,0.0662,37526400
9/10/1986,0.0662,0.0667,0.0651,0.0651,10886400
9/11/1986,0.0651,0.0657,0.0624,0.0624,35654400
9/12/1986,0.0624,0.063,0.0608,0.0608,24451200
9/15/1986,0.0608,0.0619,0.0597,0.0619,22492800
9/16/1986,0.0619,0.0624,0.0608,0.0619,5184000
9/17/1986,0.0619,0.0646,0.0614,0.0635,8035200
9/18/1986,0.0635,0.0651,0.0635,0.064,5356800
9/19/1986,0.064,0.0646,0.0635,0.064,2505600
9/22/1986,0.064,0.064,0.0635,0.0635,4492800
9/23/1986,0.0635,0.0651,0.0635,0.0646,5961600
9/24/1986,0.0646,0.0646,0.0635,0.0638,4780800
9/25/1986,0.0638,0.064,0.0624,0.0624,5155200
9/26/1986,0.0624,0.063,0.0619,0.0624,2332800
9/29/1986,0.0624,0.0624,0.0608,0.0608,6192000
9/30/1986,0.0608,0.0619,0.0608,0.0608,5184000
