date,open,high,low,close,volume
1/22/1999,0.0402,0.0448,0.0356,0.0377,2147483647
1/25/1999,0.0406,0.0421,0.0377,0.0416,510480000
1/26/1999,0.0421,0.0429,0.0378,0.0384,343200000
1/27/1999,0.0385,0.0395,0.0363,0.0383,244368000
1/28/1999,0.0383,0.0385,0.0379,0.0381,227520000
1/29/1999,0.0381,0.0383,0.0363,0.0363,244032000
2/1/1999,0.0363,0.0373,0.0363,0.0371,154704000
2/2/1999,0.0363,0.0373,0.0331,0.0342,264096000
2/3/1999,0.0337,0.0354,0.0335,0.0349,75120000
2/4/1999,0.0354,0.0378,0.0349,0.0368,181920000
2/5/1999,0.0374,0.0383,0.0365,0.0379,136848000
2/8/1999,0.0381,0.0383,0.0366,0.0366,154080000
2/9/1999,0.0373,0.0376,0.0347,0.0352,86976000
2/10/1999,0.0352,0.0361,0.0342,0.0348,148224000
2/11/1999,0.0349,0.0392,0.0349,0.0378,132240000
2/12/1999,0.0383,0.0402,0.0383,0.0399,109728000
2/16/1999,0.0406,0.0423,0.0361,0.0402,211008000
2/17/1999,0.0392,0.0397,0.0373,0.038,67728000
2/18/1999,0.0392,0.0397,0.0376,0.0386,70704000
2/19/1999,0.0383,0.0406,0.0378,0.0399,75360000
2/22/1999,0.0406,0.0411,0.038,0.0402,205248000
2/23/1999,0.0411,0.0429,0.0387,0.0421,138096000
2/24/1999,0.0483,0.0502,0.0444,0.0454,612768000
2/25/1999,0.0473,0.0488,0.0433,0.044,149136000
2/26/1999,0.0445,0.0459,0.0416,0.042,172608000
3/1/1999,0.043,0.044,0.0402,0.0422,92160000
3/2/1999,0.0421,0.0423,0.0411,0.0419,55248000
3/3/1999,0.0421,0.0421,0.0387,0.039,61392000
3/4/1999,0.0409,0.0411,0.0378,0.0381,57360000
3/5/1999,0.0385,0.0404,0.0385,0.0403,78768000
3/8/1999,0.0392,0.0421,0.0385,0.0409,75888000
3/9/1999,0.0408,0.0428,0.0408,0.0422,143184000
3/10/1999,0.0428,0.0428,0.0409,0.0415,235344000
3/11/1999,0.0408,0.0415,0.0397,0.0397,54288000
3/12/1999,0.0399,0.0399,0.0383,0.039,90768000
3/15/1999,0.0399,0.0411,0.0397,0.0406,108816000
3/16/1999,0.0409,0.0414,0.039,0.0393,79152000
3/17/1999,0.0397,0.0404,0.0386,0.0396,51360000
