date,open,high,low,close,volume
3/12/1986,0.0515,0.0521,0.0515,0.0515,392979600
3/13/1986,0.0527,0.0533,0.0527,0.0527,125290800
3/14/1986,0.0546,0.0552,0.0546,0.0546,57866400
3/17/1986,0.054,0.054,0.0533,0.0533,28285200
3/18/1986,0.0527,0.0527,0.0521,0.0521,32335200
3/19/1986,0.0521,0.0521,0.0508,0.0508,22712400
3/20/1986,0.0508,0.0515,0.0508,0.0508,17787600
3/21/1986,0.0502,0.0502,0.0489,0.0489,16232400
3/24/1986,0.0489,0.0496,0.0489,0.0489,20736000
3/25/1986,0.0489,0.0496,0.0489,0.0489,21675600
3/26/1986,0.0496,0.0508,0.0496,0.0496,23328000
3/27/1986,0.0515,0.0527,0.0515,0.0515,21513600
3/31/1986,0.0521,0.0527,0.0521,0.0521,9882000
4/1/1986,0.0502,0.0502,0.0496,0.0496,20314800
4/2/1986,0.0496,0.0502,0.0489,0.0489,12960000
4/3/1986,0.0508,0.0521,0.0508,0.0508,11955600
4/4/1986,0.0508,0.0515,0.0502,0.0502,10659600
4/7/1986,0.0508,0.0515,0.0508,0.0508,9007200
4/8/1986,0.0508,0.0521,0.0508,0.0508,15001200
4/9/1986,0.0508,0.0515,0.0508,0.0508,8942400
4/10/1986,0.0508,0.0515,0.0508,0.0508,9428400
4/11/1986,0.0521,0.0527,0.0521,0.0521,18273600
4/14/1986,0.0521,0.0527,0.0521,0.0521,46785600
4/15/1986,0.0521,0.0527,0.0521,0.0527,12020400
4/16/1986,0.0527,0.0552,0.0521,0.0552,22550400
4/17/1986,0.0552,0.0602,0.0552,0.0602,19699200
4/18/1986,0.0602,0.0665,0.0602,0.0653,27799200
4/21/1986,0.0653,0.0725,0.0646,0.0715,33534000
4/22/1986,0.0715,0.0715,0.0671,0.0678,38264400
4/23/1986,0.0678,0.0678,0.0659,0.0659,4114800
4/24/1986,0.0659,0.0671,0.0659,0.0671,10789200
4/25/1986,0.0671,0.0684,0.0671,0.0684,4633200
4/28/1986,0.0684,0.0703,0.0684,0.069,46008000
4/29/1986,0.069,0.0697,0.0678,0.0684,2786400
4/30/1986,0.0671,0.0671,0.0628,0.0628,9720000
5/1/1986,0.0628,0.0646,0.0628,0.064,21546000
5/2/1986,0.064,0.0646,0.0602,0.0602,10627200
5/5/1986,0.0602,0.0615,0.0602,0.0615,4924800
5/6/1986,0.0615,0.0634,0.0602,0.0634,7257600
5/7/1986,0.0634,0.0646,0.0634,0.0646,11826000
5/8/1986,0.0646,0.0665,0.064,0.0653,21254400
5/9/1986,0.0653,0.0665,0.0653,0.0665,7581600
5/12/1986,0.0665,0.0665,0.0653,0.0659,11404800
5/13/1986,0.0659,0.0678,0.0653,0.0678,35510400
5/14/1986,0.0678,0.0678,0.0659,0.0659,2559600
5/15/1986,0.0659,0.0671,0.0659,0.0671,939600
5/16/1986,0.0671,0.0678,0.0665,0.0678,3985200
5/19/1986,0.0678,0.0678,0.064,0.064,8974800
5/20/1986,0.064,0.0653,0.064,0.064,4438800
5/21/1986,0.064,0.0646,0.064,0.0646,874800
5/22/1986,0.0646,0.0646,0.0621,0.0628,11599200
5/23/1986,0.0628,0.0634,0.0615,0.0615,4600800
5/27/1986,0.0615,0.0628,0.0609,0.0621,2430000
5/28/1986,0.0621,0.0621,0.0609,0.0621,1198800
5/29/1986,0.0609,0.0609,0.0596,0.0596,5086800
5/30/1986,0.0596,0.0609,0.0584,0.059,20574000
6/2/1986,0.059,0.059,0.0558,0.0571,8845200
6/3/1986,0.0571,0.0587,0.0527,0.0587,62175600
6/4/1986,0.0587,0.059,0.0577,0.059,22582800
6/5/1986,0.059,0.0653,0.0577,0.0628,28447200
6/6/1986,0.0628,0.064,0.0628,0.0628,4341600
6/9/1986,0.0628,0.0634,0.0602,0.0621,6091200
6/10/1986,0.0621,0.0621,0.0596,0.0609,17917200
6/11/1986,0.0609,0.0628,0.0609,0.0628,10432800
6/12/1986,0.0628,0.0631,0.0621,0.0621,12700800
6/13/1986,0.0621,0.064,0.0621,0.0628,19213200
6/16/1986,0.0628,0.0634,0.0621,0.0621,5378400
6/17/1986,0.0621,0.0631,0.0609,0.0615,18500400
6/18/1986,0.0615,0.0621,0.0609,0.0609,8164800
6/19/1986,0.0609,0.0621,0.0609,0.0618,5670000
6/20/1986,0.0618,0.0621,0.0606,0.0609,21384000
6/23/1986,0.0609,0.0621,0.0602,0.0621,18079200
6/24/1986,0.0621,0.0621,0.0602,0.0621,10659600
6/25/1986,0.0621,0.0621,0.0615,0.0615,550800
6/26/1986,0.0615,0.0628,0.0602,0.0621,5670000
6/27/1986,0.0621,0.0621,0.0609,0.0609,13867200
6/30/1986,0.0609,0.0621,0.0609,0.0612,7549200
7/1/1986,0.0612,0.0621,0.0609,0.0621,2721600
7/2/1986,0.0621,0.0621,0.0609,0.0609,972000
7/3/1986,0.0609,0.0621,0.0609,0.0609,4050000
7/7/1986,0.0609,0.0621,0.0596,0.0602,10303200
7/8/1986,0.0602,0.0602,0.0596,0.0596,6577200
7/9/1986,0.0596,0.0602,0.0596,0.0602,3304800
7/10/1986,0.0602,0.0615,0.0602,0.0602,2170800
7/11/1986,0.0602,0.0615,0.0596,0.0596,5605200
7/14/1986,0.0596,0.0609,0.059,0.0609,19083600
7/15/1986,0.0596,0.0596,0.0533,0.054,30747600
7/16/1986,0.0527,0.0527,0.0433,0.0446,112492800
7/17/1986,0.0452,0.0489,0.0452,0.0477,131900400
7/18/1986,0.0477,0.0483,0.0464,0.0471,20379600
7/21/1986,0.0471,0.0471,0.0458,0.0464,8910000
7/22/1986,0.0464,0.0464,0.0452,0.0452,8067600
7/23/1986,0.0452,0.0458,0.0446,0.0446,7776000
7/24/1986,0.0446,0.0452,0.0414,0.042,16783200
7/25/1986,0.0414,0.0414,0.0395,0.0414,8618400
7/28/1986,0.0408,0.0408,0.0389,0.0408,7192800
7/29/1986,0.0408,0.0408,0.0389,0.0399,28609200
7/30/1986,0.0399,0.0402,0.0389,0.0402,9169200
7/31/1986,0.0402,0.0402,0.0389,0.0389,3078000
8/1/1986,0.0389,0.0402,0.0389,0.0389,5896800
8/4/1986,0.0389,0.0389,0.0364,0.037,12376800
8/5/1986,0.037,0.0383,0.0364,0.0364,3272400
8/6/1986,0.0364,0.0383,0.0364,0.0373,2559600
8/7/1986,0.0373,0.0383,0.0364,0.0383,5378400
8/8/1986,0.0383,0.0383,0.0364,0.0383,5767200
8/11/1986,0.0383,0.0383,0.0339,0.0364,44874000
8/12/1986,0.037,0.0389,0.037,0.0383,40014000
8/13/1986,0.0383,0.0408,0.0383,0.0399,37810800
8/14/1986,0.0399,0.0399,0.0383,0.0399,21157200
