date,open,high,low,close,volume
1/2/1970,0.6598,0.6643,0.659,0.6628,1664000
1/5/1970,0.6628,0.6673,0.659,0.6658,1036800
1/6/1970,0.6643,0.6643,0.6583,0.6628,960000
1/7/1970,0.6643,0.6749,0.6643,0.6734,1420800
1/8/1970,0.6734,0.6839,0.6719,0.6809,1062400
1/9/1970,0.6809,0.6809,0.6764,0.6794,524800
1/12/1970,0.6794,0.6794,0.6749,0.6749,742400
1/13/1970,0.6749,0.6764,0.6719,0.6719,819200
1/14/1970,0.6749,0.6914,0.6749,0.6749,1190400
1/15/1970,0.6749,0.6779,0.6734,0.6749,780800
1/16/1970,0.6794,0.693,0.6794,0.6824,819200
1/19/1970,0.681,0.681,0.6749,0.6764,1024000
1/20/1970,0.678,0.6817,0.678,0.6787,537600
1/21/1970,0.6787,0.684,0.6749,0.6832,1356800
1/22/1970,0.6832,0.7006,0.6757,0.699,1804800
1/23/1970,0.696,0.696,0.678,0.678,5785600
1/26/1970,0.678,0.6795,0.6689,0.6689,1062400
1/27/1970,0.6704,0.6749,0.6704,0.6704,294400
1/28/1970,0.6704,0.6742,0.6659,0.6659,1651200
1/29/1970,0.6659,0.6659,0.6614,0.6644,832000
1/30/1970,0.6667,0.6742,0.6667,0.6689,870400
2/2/1970,0.6689,0.6704,0.6629,0.6629,4902400
2/3/1970,0.6644,0.6802,0.6644,0.6749,2470400
2/4/1970,0.6749,0.681,0.6749,0.6764,768000
2/5/1970,0.6764,0.6802,0.6734,0.678,908800
2/6/1970,0.678,0.69,0.6764,0.687,1062400
2/9/1970,0.687,0.696,0.6832,0.693,1280000
2/10/1970,0.693,0.693,0.69,0.6915,576000
2/11/1970,0.6915,0.693,0.687,0.693,1318400
2/12/1970,0.6945,0.7006,0.6945,0.699,1587200
2/13/1970,0.6975,0.6975,0.687,0.69,3097600
2/16/1970,0.69,0.7036,0.69,0.6908,870400
2/17/1970,0.69,0.69,0.6599,0.6659,3084800
2/18/1970,0.6652,0.6652,0.6485,0.6508,2598400
2/19/1970,0.6508,0.6538,0.6448,0.6538,4121600
2/20/1970,0.6538,0.6576,0.6523,0.6523,1689600
2/24/1970,0.6523,0.6554,0.6478,0.6554,1971200
2/25/1970,0.6554,0.6584,0.6463,0.6508,5785600
2/26/1970,0.6388,0.6388,0.6358,0.6365,3494400
