date,open,high,low,close,volume
3/26/1990,0.2353,0.2353,0.2323,0.2323,412800
3/27/1990,0.2323,0.2445,0.2323,0.2445,3913600
3/28/1990,0.2445,0.2445,0.2383,0.2383,1561600
3/29/1990,0.2445,0.2445,0.2415,0.2415,537600
3/30/1990,0.2445,0.2445,0.2383,0.2415,1756800
4/2/1990,0.2383,0.2445,0.2323,0.2445,2451200
4/3/1990,0.2477,0.2539,0.2415,0.2477,2812800
4/4/1990,0.2509,0.2539,0.2445,0.2477,4003200
4/5/1990,0.2509,0.2571,0.2509,0.2539,3961600
4/6/1990,0.2571,0.2601,0.2539,0.2571,1273600
4/9/1990,0.2571,0.2601,0.2509,0.2509,2873600
4/10/1990,0.2509,0.2539,0.2445,0.2445,2118400
4/11/1990,0.2509,0.2539,0.2477,0.2509,3440000
4/12/1990,0.2539,0.2601,0.2509,0.2601,3254400
4/16/1990,0.2601,0.263,0.2539,0.2571,4595200
4/17/1990,0.2571,0.263,0.2571,0.2571,7257600
4/18/1990,0.2571,0.2601,0.2539,0.2539,2291200
4/19/1990,0.2539,0.2539,0.2509,0.2539,896000
4/20/1990,0.2509,0.2539,0.2477,0.2509,1168000
4/23/1990,0.2445,0.2477,0.2415,0.2477,998400
4/24/1990,0.2477,0.2509,0.2445,0.2445,700800
4/25/1990,0.2477,0.2509,0.2477,0.2509,758400
4/26/1990,0.2509,0.2571,0.2509,0.2539,1228800
4/27/1990,0.2509,0.2539,0.2477,0.2477,1888000
4/30/1990,0.2571,0.2724,0.2539,0.2663,12281600
5/1/1990,0.2692,0.2819,0.2692,0.2786,11120000
5/2/1990,0.2786,0.291,0.2757,0.291,3782400
5/3/1990,0.294,0.294,0.2848,0.2848,5475200
5/4/1990,0.291,0.3034,0.291,0.2972,11257600
5/7/1990,0.3066,0.3188,0.3034,0.3158,37350400
5/8/1990,0.3188,0.3282,0.3126,0.3252,15411200
5/9/1990,0.322,0.3282,0.3126,0.3188,12224000
5/10/1990,0.3188,0.322,0.3158,0.3158,11753600
5/11/1990,0.3188,0.3252,0.3188,0.3188,10361600
5/14/1990,0.3188,0.3252,0.3188,0.3252,5904000
5/15/1990,0.3252,0.3252,0.3188,0.3252,7558400
5/16/1990,0.3252,0.3406,0.322,0.3314,9673600
5/17/1990,0.3373,0.3373,0.3314,0.3344,12099200
5/18/1990,0.3314,0.3373,0.3314,0.3314,11516800
5/21/1990,0.3314,0.3406,0.3314,0.3406,8473600
5/22/1990,0.3467,0.3562,0.3435,0.3562,29398400
5/23/1990,0.3562,0.3621,0.35,0.3621,21696000
