date,open,high,low,close,volume
8/25/1972,0.0127,0.013,0.0127,0.0129,7526400
8/28/1972,0.0129,0.013,0.0129,0.0129,2918400
8/29/1972,0.0128,0.0128,0.0127,0.0127,5836800
8/30/1972,0.0127,0.0127,0.0126,0.0127,1228800
8/31/1972,0.0126,0.0126,0.0125,0.0125,2611200
9/1/1972,0.0126,0.0126,0.0126,0.0126,768000
9/5/1972,0.0126,0.0126,0.0125,0.0125,1689600
9/6/1972,0.0126,0.0126,0.0126,0.0126,768000
9/7/1972,0.0126,0.0126,0.0126,0.0126,3532800
9/8/1972,0.0125,0.0125,0.0125,0.0125,1996800
9/11/1972,0.0126,0.0126,0.0126,0.0126,2764800
9/12/1972,0.0126,0.0126,0.0126,0.0126,1843200
9/13/1972,0.0126,0.0126,0.0126,0.0126,460800
9/14/1972,0.0126,0.0127,0.0125,0.0127,3840000
9/15/1972,0.0126,0.0126,0.0126,0.0126,1536000
9/18/1972,0.0126,0.0127,0.0126,0.0126,3225600
9/19/1972,0.0126,0.0126,0.0125,0.0125,9369600
9/20/1972,0.0124,0.0124,0.0124,0.0124,153600
9/21/1972,0.0123,0.0123,0.0121,0.0121,4300800
9/22/1972,0.012,0.012,0.0116,0.0116,2611200
9/25/1972,0.0116,0.0116,0.0113,0.0113,2918400
9/26/1972,0.0113,0.0113,0.0112,0.0112,2150400
9/27/1972,0.0111,0.0111,0.011,0.011,1996800
9/28/1972,0.0112,0.0114,0.0112,0.0113,4300800
9/29/1972,0.0114,0.0114,0.0114,0.0114,768000
10/2/1972,0.0115,0.012,0.0115,0.012,4915200
10/3/1972,0.0121,0.0122,0.0121,0.0122,1536000
10/4/1972,0.0122,0.0125,0.0122,0.0124,4608000
10/5/1972,0.0123,0.0123,0.0121,0.0121,4147200
10/6/1972,0.012,0.012,0.0116,0.0116,29337600
10/9/1972,0.0117,0.0118,0.0117,0.0118,3840000
10/10/1972,0.0118,0.0118,0.0118,0.0118,0
10/11/1972,0.0118,0.0118,0.0117,0.0118,1382400
10/12/1972,0.0118,0.0118,0.0117,0.0117,1075200
10/13/1972,0.0117,0.0117,0.0117,0.0117,153600
10/16/1972,0.0117,0.0117,0.0114,0.0114,1996800
10/17/1972,0.0114,0.0117,0.0113,0.0116,7372800
10/18/1972,0.0117,0.0125,0.0117,0.0124,23347200
10/19/1972,0.0124,0.0125,0.0124,0.0125,31795200
10/20/1972,0.0124,0.0124,0.0124,0.0124,153600
10/23/1972,0.0124,0.0124,0.0123,0.0123,1382400
10/24/1972,0.0124,0.0124,0.0124,0.0124,307200
10/25/1972,0.0123,0.0123,0.0122,0.0122,3686400
10/26/1972,0.0123,0.0123,0.0123,0.0123,153600
10/27/1972,0.0123,0.0123,0.0123,0.0123,614400
10/30/1972,0.0123,0.0123,0.0122,0.0123,3993600
10/31/1972,0.0123,0.0126,0.0123,0.0126,2150400
11/1/1972,0.0128,0.0132,0.0128,0.0132,6758400
11/2/1972,0.0133,0.0135,0.0133,0.0133,2150400
11/3/1972,0.0133,0.0133,0.0132,0.0133,4300800
11/6/1972,0.0133,0.0133,0.0133,0.0133,460800
11/8/1972,0.0133,0.0135,0.0133,0.0134,2150400
11/9/1972,0.0134,0.0134,0.0133,0.0134,2457600
11/10/1972,0.0134,0.0134,0.0134,0.0134,0
11/13/1972,0.0134,0.0134,0.0133,0.0134,1228800
11/14/1972,0.0133,0.0133,0.0132,0.0132,460800
11/15/1972,0.0132,0.0133,0.0131,0.0132,1689600
11/16/1972,0.0132,0.0132,0.0131,0.0132,1843200
11/17/1972,0.0132,0.0133,0.0132,0.0132,4147200
11/20/1972,0.0132,0.0132,0.0131,0.0131,460800
11/21/1972,0.0131,0.0134,0.013,0.0134,1689600
11/22/1972,0.0134,0.0136,0.0134,0.0134,1382400
11/24/1972,0.0134,0.0135,0.0134,0.0134,1075200
11/27/1972,0.0134,0.0137,0.0133,0.0137,18739200
11/28/1972,0.0136,0.0136,0.0133,0.0133,10444800
11/29/1972,0.0132,0.0132,0.0127,0.0127,10752000
11/30/1972,0.0126,0.0126,0.0126,0.0126,614400
12/1/1972,0.0127,0.0128,0.0127,0.0128,4454400
12/4/1972,0.0129,0.0133,0.0129,0.0133,2918400
12/5/1972,0.0135,0.0135,0.0135,0.0135,3993600
12/6/1972,0.0135,0.0135,0.0135,0.0135,1228800
12/7/1972,0.0135,0.0135,0.0134,0.0134,1996800
12/8/1972,0.0134,0.0134,0.0132,0.0132,29337600
12/11/1972,0.0133,0.0134,0.0133,0.0134,1075200
12/12/1972,0.0133,0.0133,0.0132,0.0132,614400
12/13/1972,0.0133,0.0133,0.0133,0.0133,307200
12/14/1972,0.0134,0.0134,0.0134,0.0134,4915200
12/15/1972,0.0134,0.0135,0.0134,0.0135,4608000
12/18/1972,0.0135,0.0135,0.0134,0.0134,4608000
12/19/1972,0.0134,0.0135,0.0134,0.0135,460800
12/20/1972,0.0135,0.0135,0.0126,0.0135,614400
12/21/1972,0.0135,0.0135,0.0134,0.0134,27187200
12/22/1972,0.0134,0.0135,0.0134,0.0135,3686400
12/26/1972,0.0135,0.0137,0.0133,0.0133,1843200
12/27/1972,0.0133,0.0134,0.0132,0.0134,2304000
12/29/1972,0.0134,0.0135,0.0133,0.0135,921600
1/2/1973,0.0136,0.0137,0.0136,0.0136,1382400
1/3/1973,0.0135,0.0135,0.0135,0.0135,2304000
1/4/1973,0.0135,0.0137,0.0135,0.0135,5222400
1/5/1973,0.0135,0.0135,0.0134,0.0134,4761600
1/8/1973,0.0134,0.0134,0.0133,0.0134,1996800
1/9/1973,0.0133,0.0133,0.013,0.0131,10752000
1/10/1973,0.0131,0.0131,0.0128,0.0128,3840000
1/11/1973,0.0129,0.0131,0.0129,0.0131,3993600
1/12/1973,0.0131,0.0132,0.013,0.013,5836800
1/15/1973,0.0129,0.0129,0.0129,0.0129,1075200
1/16/1973,0.0129,0.0131,0.0128,0.0131,10444800
1/17/1973,0.0131,0.0133,0.0131,0.0132,1996800
1/18/1973,0.0132,0.0132,0.0132,0.0132,0
1/19/1973,0.0131,0.0131,0.0129,0.0129,1843200
1/22/1973,0.0129,0.0129,0.0128,0.0128,921600
1/23/1973,0.0128,0.0128,0.0123,0.0123,4608000
1/24/1973,0.0124,0.0127,0.0124,0.0125,4761600
1/26/1973,0.0124,0.0124,0.0123,0.0124,3379200
1/29/1973,0.0123,0.0123,0.012,0.012,2918400
1/30/1973,0.0119,0.0119,0.0118,0.0118,3840000
1/31/1973,0.0118,0.0118,0.0116,0.0116,1536000
2/1/1973,0.0117,0.012,0.0117,0.0119,9369600
2/2/1973,0.0119,0.012,0.0118,0.0119,7680000
2/5/1973,0.0119,0.0119,0.0119,0.0119,307200
2/6/1973,0.0119,0.0119,0.0118,0.0118,3532800
2/7/1973,0.0119,0.012,0.0119,0.012,9984000
2/8/1973,0.012,0.012,0.0118,0.0118,2611200
2/9/1973,0.0118,0.0118,0.0117,0.0118,3072000
2/12/1973,0.0118,0.0122,0.0118,0.0122,6758400
2/13/1973,0.0122,0.0122,0.0121,0.0122,2457600
2/14/1973,0.0122,0.0122,0.0121,0.0122,3072000
2/15/1973,0.0123,0.0123,0.0123,0.0123,2918400
2/16/1973,0.0125,0.0127,0.0125,0.0126,3993600
2/20/1973,0.0127,0.0128,0.0127,0.0128,17510400
2/21/1973,0.0128,0.0128,0.0128,0.0128,3993600
2/22/1973,0.0128,0.0128,0.0124,0.0124,40857600
2/23/1973,0.0124,0.0125,0.0124,0.0125,6451200
2/26/1973,0.0124,0.0124,0.0124,0.0124,2457600
2/27/1973,0.0124,0.0124,0.0123,0.0123,4300800
2/28/1973,0.0122,0.0122,0.0121,0.0122,7680000
3/1/1973,0.0121,0.0121,0.0121,0.0121,307200
3/2/1973,0.012,0.012,0.0119,0.012,7833600
3/5/1973,0.012,0.012,0.0117,0.0117,25036800
3/6/1973,0.0117,0.0117,0.0111,0.0111,17971200
3/7/1973,0.011,0.011,0.0103,0.0108,15360000
3/8/1973,0.0111,0.0117,0.0111,0.0114,9830400
3/9/1973,0.0114,0.0114,0.0111,0.0112,7680000
3/12/1973,0.0113,0.0114,0.0113,0.0113,1689600
3/13/1973,0.0112,0.0112,0.0109,0.0109,4454400
3/14/1973,0.0109,0.0113,0.0109,0.0112,5376000
3/15/1973,0.0112,0.0114,0.011,0.011,2150400
3/16/1973,0.0109,0.0109,0.0106,0.0109,3379200
3/19/1973,0.0108,0.0108,0.0106,0.0106,1536000
3/20/1973,0.0106,0.0106,0.0104,0.0104,460800
3/21/1973,0.0104,0.0104,0.0102,0.0102,6604800
3/22/1973,0.0099,0.0099,0.0085,0.0085,12902400
3/23/1973,0.0085,0.0086,0.0084,0.0086,16588800
3/26/1973,0.0086,0.0087,0.0086,0.0086,4147200
3/27/1973,0.0086,0.009,0.0086,0.009,14592000
3/28/1973,0.0089,0.0089,0.0088,0.0088,2611200
3/29/1973,0.0089,0.0089,0.0089,0.0089,153600
3/30/1973,0.0089,0.009,0.0089,0.0089,4147200
4/2/1973,0.0089,0.009,0.0088,0.009,4608000
4/3/1973,0.009,0.009,0.009,0.009,460800
4/4/1973,0.009,0.009,0.0089,0.009,1536000
4/5/1973,0.0088,0.0088,0.0085,0.0085,4300800
4/6/1973,0.0085,0.0085,0.0085,0.0085,460800
4/9/1973,0.0085,0.0085,0.0085,0.0085,153600
4/10/1973,0.0085,0.0086,0.0085,0.0086,3993600
4/11/1973,0.0086,0.0086,0.0085,0.0085,1382400
4/12/1973,0.0085,0.0085,0.0085,0.0085,460800
4/13/1973,0.0085,0.0085,0.0085,0.0085,921600
4/16/1973,0.0084,0.0084,0.0083,0.0084,2764800
4/17/1973,0.0084,0.0084,0.0084,0.0084,0
4/18/1973,0.0083,0.0083,0.0083,0.0083,2304000
4/19/1973,0.0083,0.0086,0.0083,0.0086,2150400
4/23/1973,0.0086,0.0088,0.0086,0.0088,8601600
4/24/1973,0.009,0.0091,0.009,0.0091,2150400
4/25/1973,0.0091,0.0091,0.0091,0.0091,4300800
4/26/1973,0.0091,0.0091,0.009,0.009,8601600
4/27/1973,0.009,0.0091,0.0088,0.0088,3379200
4/30/1973,0.0088,0.0088,0.0088,0.0088,1536000
5/1/1973,0.0087,0.0087,0.0087,0.0087,768000
5/2/1973,0.0087,0.0087,0.0087,0.0087,153600
5/3/1973,0.0087,0.0087,0.0086,0.0087,614400
5/4/1973,0.0088,0.0088,0.0088,0.0088,3532800
5/7/1973,0.0087,0.0087,0.0087,0.0087,153600
5/8/1973,0.0087,0.0087,0.0087,0.0087,0
5/9/1973,0.0088,0.0089,0.0088,0.0088,1382400
5/10/1973,0.0088,0.0088,0.0088,0.0088,1228800
5/11/1973,0.0087,0.0087,0.0087,0.0087,307200
5/14/1973,0.0086,0.0086,0.0083,0.0084,9216000
5/15/1973,0.0083,0.0083,0.0083,0.0083,2304000
5/16/1973,0.0083,0.0083,0.0083,0.0083,0
5/17/1973,0.0084,0.0085,0.0084,0.0084,5529600
5/18/1973,0.0085,0.0085,0.0085,0.0085,614400
5/21/1973,0.0084,0.0084,0.0084,0.0084,3686400
5/22/1973,0.0084,0.0084,0.0082,0.0084,5990400
5/23/1973,0.0083,0.0083,0.0082,0.0082,1536000
5/24/1973,0.0082,0.0083,0.0081,0.0081,5376000
5/25/1973,0.0082,0.0084,0.0082,0.0084,10905600
5/29/1973,0.0085,0.0089,0.0085,0.0089,1843200
5/30/1973,0.0088,0.0088,0.0086,0.0086,460800
5/31/1973,0.0086,0.0086,0.0085,0.0086,614400
6/1/1973,0.0086,0.0086,0.0086,0.0086,0
6/4/1973,0.0086,0.0086,0.0086,0.0086,0
6/5/1973,0.0085,0.0085,0.0085,0.0085,153600
6/6/1973,0.0084,0.0084,0.0075,0.0078,11827200
6/7/1973,0.0078,0.0078,0.0077,0.0078,4454400
6/8/1973,0.0078,0.0078,0.0078,0.0078,153600
6/11/1973,0.0078,0.0078,0.0077,0.0077,307200
6/12/1973,0.0076,0.0076,0.0074,0.0074,3686400
6/13/1973,0.0073,0.0073,0.0069,0.0069,149913600
6/14/1973,0.0068,0.0068,0.0059,0.006,7372800
6/15/1973,0.006,0.0061,0.0059,0.0059,4300800
6/18/1973,0.0059,0.0059,0.0059,0.0059,3379200
6/19/1973,0.0059,0.0061,0.0059,0.0061,2764800
6/20/1973,0.0062,0.0069,0.0062,0.0068,4761600
6/21/1973,0.0068,0.0069,0.0067,0.0069,4300800
6/22/1973,0.0069,0.007,0.0067,0.0067,1843200
6/25/1973,0.0067,0.0067,0.0065,0.0065,768000
