date,open,high,low,close,volume
1/2/1970,0.5368,0.539,0.5357,0.539,1174400
1/5/1970,0.539,0.5477,0.5378,0.5477,1881600
1/6/1970,0.5477,0.5488,0.5411,0.5465,1232000
1/7/1970,0.5465,0.5465,0.5423,0.5433,918400
1/8/1970,0.5433,0.5477,0.5411,0.5444,1075200
1/9/1970,0.5444,0.5465,0.5423,0.5465,1072000
1/12/1970,0.5465,0.5477,0.5423,0.5423,892800
1/13/1970,0.5423,0.5455,0.5401,0.5401,1248000
1/14/1970,0.5401,0.5411,0.5378,0.5411,1328000
1/15/1970,0.5411,0.5411,0.5346,0.5357,1206400
1/16/1970,0.5357,0.539,0.5357,0.5378,1100800
1/19/1970,0.5378,0.539,0.5346,0.5378,700800
1/20/1970,0.5378,0.5411,0.5357,0.5357,1241600
1/21/1970,0.5357,0.539,0.5346,0.5346,841600
1/22/1970,0.5346,0.5357,0.5303,0.5314,1382400
1/23/1970,0.5314,0.5314,0.5227,0.5237,1878400
1/26/1970,0.5237,0.5259,0.5216,0.5249,1043200
1/27/1970,0.5227,0.5227,0.5172,0.5216,2054400
1/28/1970,0.5216,0.5216,0.5042,0.5053,1488000
1/29/1970,0.5009,0.5009,0.4944,0.4944,1548800
1/30/1970,0.4933,0.4933,0.4868,0.4901,2172800
2/2/1970,0.4901,0.4901,0.4868,0.4868,2755200
2/3/1970,0.4868,0.4998,0.4846,0.4966,2572800
2/4/1970,0.4966,0.4977,0.4933,0.4955,2003200
2/5/1970,0.4955,0.4955,0.4933,0.4944,1676800
2/6/1970,0.4879,0.4879,0.4814,0.4825,1635200
2/9/1970,0.4825,0.4846,0.4792,0.4803,1398400
2/10/1970,0.4781,0.4781,0.4586,0.4629,2777600
2/11/1970,0.4629,0.4661,0.4564,0.4661,2316800
2/12/1970,0.4651,0.4651,0.4477,0.4542,2611200
2/13/1970,0.4542,0.4553,0.4477,0.452,2380800
2/16/1970,0.4412,0.4412,0.4358,0.4379,3497600
2/17/1970,0.4379,0.4379,0.4335,0.4358,3078400
2/18/1970,0.4412,0.4629,0.4412,0.4596,4438400
2/19/1970,0.4661,0.4748,0.4661,0.4661,3376000
2/20/1970,0.4661,0.4803,0.4607,0.4792,4480000
2/24/1970,0.4792,0.4933,0.4759,0.477,3750400
2/25/1970,0.477,0.4857,0.4607,0.4846,4771200
2/26/1970,0.4803,0.4803,0.4683,0.4705,3705600
2/27/1970,0.4705,0.477,0.4694,0.4694,4137600
3/2/1970,0.4694,0.477,0.4651,0.4651,5107200
3/3/1970,0.4651,0.4672,0.4596,0.4629,5152000
3/4/1970,0.4629,0.4672,0.4629,0.4651,4838400
3/5/1970,0.4651,0.4727,0.4651,0.4694,4912000
3/6/1970,0.4672,0.4672,0.4619,0.4651,4780800
3/9/1970,0.464,0.464,0.4596,0.4596,7699200
3/10/1970,0.4596,0.4705,0.4564,0.4683,5878400
3/11/1970,0.4727,0.4781,0.4727,0.477,3638400
3/12/1970,0.477,0.477,0.4694,0.4748,2841600
3/13/1970,0.4748,0.4748,0.4705,0.4748,2582400
3/16/1970,0.4748,0.4748,0.4672,0.4738,2028800
3/17/1970,0.4738,0.4748,0.4694,0.4738,1520000
3/18/1970,0.4738,0.4846,0.4738,0.4781,1958400
3/19/1970,0.4781,0.4825,0.477,0.4781,1904000
3/20/1970,0.4781,0.4803,0.4759,0.4803,1257600
3/23/1970,0.4803,0.4814,0.4759,0.4792,931200
3/24/1970,0.4803,0.4879,0.4803,0.4868,950400
3/25/1970,0.4879,0.4998,0.4879,0.4977,2720000
3/26/1970,0.4977,0.5009,0.4955,0.4988,1932800
3/30/1970,0.4988,0.5031,0.4966,0.502,1523200
3/31/1970,0.5009,0.5009,0.4966,0.4977,1728000
4/1/1970,0.4988,0.5009,0.4988,0.4998,1168000
4/2/1970,0.4998,0.5031,0.4977,0.4998,1664000
4/3/1970,0.4998,0.502,0.4955,0.502,1219200
4/6/1970,0.5009,0.5009,0.4955,0.4988,1100800
4/7/1970,0.4988,0.4988,0.4868,0.489,2217600
4/8/1970,0.489,0.4901,0.4835,0.489,902400
4/9/1970,0.489,0.4944,0.489,0.4912,896000
4/10/1970,0.4912,0.4912,0.4868,0.4868,944000
4/13/1970,0.4868,0.489,0.4857,0.4857,1081600
4/14/1970,0.4857,0.4868,0.4803,0.4857,1174400
4/15/1970,0.4857,0.489,0.4846,0.4868,748800
4/16/1970,0.4868,0.4868,0.4803,0.4803,1577600
4/17/1970,0.4792,0.4792,0.4694,0.4705,2560000
4/20/1970,0.4694,0.4694,0.464,0.4672,1132800
4/21/1970,0.4694,0.4727,0.4694,0.4716,1113600
4/22/1970,0.4716,0.4759,0.4694,0.4738,1212800
4/23/1970,0.4738,0.4748,0.4716,0.4738,1030400
4/24/1970,0.4738,0.4738,0.4683,0.4727,1257600
4/27/1970,0.4727,0.4803,0.4672,0.4672,1833600
4/28/1970,0.4672,0.4694,0.4629,0.4661,1472000
4/29/1970,0.4661,0.4727,0.464,0.4694,1987200
4/30/1970,0.4694,0.4716,0.464,0.4661,1916800
5/1/1970,0.4661,0.4716,0.464,0.4694,902400
5/4/1970,0.4694,0.4694,0.4629,0.4672,787200
5/5/1970,0.4672,0.4683,0.4629,0.4672,1456000
5/6/1970,0.4672,0.4727,0.464,0.4727,2384000
5/7/1970,0.4705,0.4705,0.464,0.4651,1168000
5/8/1970,0.4651,0.4661,0.4607,0.4607,1484800
5/11/1970,0.4607,0.4619,0.4574,0.4586,1078400
5/12/1970,0.4574,0.4574,0.452,0.4564,2352000
5/13/1970,0.4542,0.4542,0.4466,0.4487,1571200
5/14/1970,0.4487,0.4532,0.4477,0.4509,1612800
5/15/1970,0.4509,0.4683,0.4499,0.4651,2160000
5/18/1970,0.4651,0.4705,0.4619,0.4694,1270400
5/19/1970,0.4683,0.4683,0.4596,0.4596,2076800
5/20/1970,0.4596,0.4607,0.4574,0.4586,1225600
5/21/1970,0.4574,0.4574,0.452,0.4564,1651200
5/22/1970,0.4564,0.4619,0.4532,0.4574,1484800
5/25/1970,0.4564,0.4564,0.4455,0.4455,1648000
5/26/1970,0.4455,0.4542,0.4445,0.4466,2124800
5/27/1970,0.4466,0.4651,0.4466,0.4629,2323200
5/28/1970,0.4661,0.4803,0.4661,0.4803,3852800
5/29/1970,0.4803,0.4944,0.4748,0.4933,2012800
6/1/1970,0.4933,0.4944,0.4825,0.4944,1824000
